"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"会長","かいちょう","6級から","","","1295","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"平和","へいわ","6級から","","","1298","常用漢字表","校正不要"
"特定","とくてい","6級から","","","1300","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"画像","がぞう","6級から","","","1305","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"少年","しょうねん","6級から","","","1307","常用漢字表","校正不要"
"安定","あんてい","6級から","","","1308","常用漢字表","校正不要"
"実験","じっけん","6級から","","","1309","常用漢字表","校正不要"
"本人","ほんにん","6級から","","","1312","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"国会","こっかい","6級から","","","1314","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"会場","かいじょう","6級から","","","1319","常用漢字表","校正不要"
"電子","でんし","6級から","","","1326","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"小説","しょうせつ","6級から","","","1327","常用漢字表","校正不要"
"注目","ちゅうもく","6級から","","","1331","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"食事","しょくじ","6級から","","","1332","常用漢字表","校正不要"
"著作","ちょさく","5級から","","","1343","常用漢字表","校正不要"
"理論","りろん","5級から","","","1350","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"日常","にちじょう","6級から","","","1352","常用漢字表","校正不要"
"業者","ぎょうしゃ","6級から","","","1354","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"回答","かいとう","6級から","","","1355","常用漢字表","校正不要"
"体制","たいせい","6級から","","","1356","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"調整","ちょうせい","6級から","","","1358","常用漢字表","校正不要"
"住民","じゅうみん","6級から","","","1362","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"疑問","ぎもん","5級から","","","1364","常用漢字表","校正不要"
"失敗","しっぱい","6級から","","","1366","常用漢字表","校正不要"
"息子","むすこ","6級から","熟字訓","","1369","常用漢字表（付表・熟字訓）","校正不要"
"資本","しほん","6級から","","","1370","常用漢字表","校正不要"
"事情","じじょう","6級から","","","1371","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"感想","かんそう","6級から","","","1376","常用漢字表","校正不要"
"解説","かいせつ","6級から","","","1377","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"公共","こうきょう","6級から","","","1382","常用漢字表","校正不要"
"民間","みんかん","6級から","","","1383","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"裁判","さいばん","5級から","","","1387","常用漢字表","校正不要"
"建物","たてもの","6級から","","","1389","常用漢字表","校正不要"
"組合","くみあい","6級から","","","1394","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"本来","ほんらい","6級から","","","1397","常用漢字表","校正不要"
"元気","げんき","6級から","","","1398","常用漢字表","校正不要"
"一体","いったい","6級から","","","1399","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"宇宙","うちゅう","5級から","","","1400","常用漢字表","校正不要"
"採用","さいよう","6級から","","","1412","常用漢字表","校正不要"
"観光","かんこう","6級から","","","1416","常用漢字表","校正不要"
"提出","ていしゅつ","6級から","","","1417","常用漢字表","校正不要"
"以来","いらい","6級から","","","1418","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"首相","しゅしょう","6級から","","","1419","常用漢字表","校正不要"
"推進","すいしん","5級から","","","1420","常用漢字表","校正不要"
"確保","かくほ","6級から","","","1422","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"動物","どうぶつ","6級から","","","1423","常用漢字表","校正不要"
"検査","けんさ","6級から","","","1425","常用漢字表","校正不要"
"映像","えいぞう","5級から","","","1426","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"要素","ようそ","6級から","","","1430","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"人物","じんぶつ","6級から","","","1435","常用漢字表","校正不要"
"規制","きせい","6級から","","","1436","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"空間","くうかん","6級から","","くうかん / あきま","1437","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"記念","きねん","6級から","","","1439","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"方針","ほうしん","5級から","","","1440","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"競争","きょうそう","6級から","","","1446","常用漢字表","校正不要"
"設置","せっち","6級から","","","1448","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"位置","いち","6級から","","","1450","常用漢字表","校正不要"
"全然","ぜんぜん","6級から","","ぜんぜん / ぜんっぜん","1453","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"費用","ひよう","6級から","","","1454","常用漢字表","校正不要"
"大統領","だいとうりょう","6級から","","","1457","常用漢字表","校正不要"
"指定","してい","6級から","","","1460","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"事務所","じむしょ","6級から","","","1461","国語辞典(JMdict)｜三字熟語","校正不要"
"感情","かんじょう","6級から","","","1462","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"京都","きょうと","6級から","","","1465","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"仲間","ちゅうげん","6級から","","ちゅうげん / なかま","1472","常用漢字表","校正不要"
"整理","せいり","6級から","","","1476","常用漢字表","校正不要"
"協会","きょうかい","6級から","","","1477","常用漢字表","校正不要"
"多数","たすう","6級から","","","1482","常用漢字表","校正不要"
"積極","せっきょく","6級から","","","1485","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"安心","あんしん","6級から","","あんしん / あんじん","1487","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"独立","どくりつ","6級から","","","1490","常用漢字表","校正不要"
"読者","どくしゃ","6級から","","","1492","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"誕生","たんじょう","5級から","","","1502","常用漢字表","校正不要"
"全員","ぜんいん","6級から","","","1508","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"参照","さんしょう","6級から","","","1513","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"地元","じもと","6級から","","","1516","常用漢字表","校正不要"
"明確","めいかく","6級から","","","1520","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"人口","じんこう","6級から","","","1531","常用漢字表","校正不要"
"反応","はんのう","6級から","","はんのう / はんおう","1532","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"手段","しゅだん","5級から","","","1538","常用漢字表","校正不要"
"有効","ゆうこう","6級から","","","1539","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"工場","こうじょう","6級から","","こうじょう / こうば","1541","常用漢字表","校正不要"
"入力","にゅうりょく","6級から","","","1542","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"注文","ちゅうもん","6級から","","ちゅうもん / ちゅうぶん","1544","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"集中","しゅうちゅう","6級から","","","1545","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
